1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
51,1
52,2
53,3
54,4
55,5
56,6
57,7
58,8
59,9
60,10
61,11
62,12
63,13
64,14
65,15
66,16
67,17
68,18
69,19
70,20
71,21
72,22
73,23
74,24
75,25
76,26
77,27
78,28
79,29
80,30
81,31
82,32
83,33
84,34
85,35
86,36
87,37
88,38
89,39
90,40
91,41
92,42
93,43
94,44
95,45
96,46
97,47
98,48
99,49
100,50
76,1
77,2
78,3
79,4
80,5
81,6
82,7
83,8
84,9
85,10
86,11
87,12
88,13
89,14
90,15
91,16
92,17
93,18
94,19
95,20
96,21
97,22
98,23
99,24
100,25
