8,1
33,2
58,3
83,4
108,5
133,6
158,7
183,8
208,9
233,10
258,11
283,12
308,13
333,14
358,15
383,16
408,17
433,18
458,19
483,20
508,21
533,22
558,23
583,24
608,25
633,26
658,27
683,28
708,29
733,30
758,31
783,32
808,33
833,34
858,35
883,36
908,37
933,38
958,39
983,40
1008,41
1033,42
1058,43
1083,44
1108,45
1133,46
1158,47
1183,48
1208,49
1233,50
1258,51
1283,52
1308,53
1333,54
1358,55
1383,56
1408,57
1433,58
1458,59
1483,60
1508,61
1533,62
1558,63
1583,64
1608,65
1633,66
1658,67
1683,68
1708,69
1733,70
1758,71
1783,72
1808,73
1833,74
1858,75
1883,76
1908,77
1933,78
1958,79
1983,80
2008,81
2033,82
2058,83
2083,84
2108,85
2133,86
2158,87
2183,88
2208,89
2233,90
2258,91
2283,92
2308,93
2333,94
2358,95
2383,96
2408,97
2433,98
2458,99
2483,100
10,1
35,2
60,3
85,4
110,5
135,6
160,7
185,8
210,9
235,10
260,11
285,12
310,13
335,14
360,15
385,16
410,17
435,18
460,19
485,20
510,21
535,22
560,23
585,24
610,25
635,26
660,27
685,28
710,29
735,30
760,31
785,32
810,33
835,34
860,35
885,36
910,37
935,38
960,39
985,40
1010,41
1035,42
1060,43
1085,44
1110,45
1135,46
1160,47
1185,48
1210,49
1235,50
1260,51
1285,52
1310,53
1335,54
1360,55
1385,56
1410,57
1435,58
1460,59
1485,60
1510,61
1535,62
1560,63
1585,64
1610,65
1635,66
1660,67
1685,68
1710,69
1735,70
1760,71
1785,72
1810,73
1835,74
1860,75
1885,76
1910,77
1935,78
1960,79
1985,80
2010,81
2035,82
2060,83
2085,84
2110,85
2135,86
2160,87
2185,88
2210,89
2235,90
2260,91
2285,92
2310,93
2335,94
2360,95
2385,96
2410,97
2435,98
2460,99
2485,100
9,101
34,102
59,103
84,104
109,105
134,106
159,107
184,108
209,109
234,110
259,111
284,112
309,113
334,114
359,115
384,116
409,117
434,118
459,119
484,120
509,121
534,122
559,123
584,124
609,125
634,126
659,127
684,128
709,129
734,130
759,131
784,132
809,133
834,134
859,135
884,136
909,137
934,138
959,139
984,140
1009,141
1034,142
1059,143
1084,144
1109,145
1134,146
1159,147
1184,148
1209,149
1234,150
1259,151
1284,152
1309,153
1334,154
1359,155
1384,156
1409,157
1434,158
1459,159
1484,160
1509,161
1534,162
1559,163
1584,164
1609,165
1634,166
1659,167
1684,168
1709,169
1734,170
1759,171
1784,172
1809,173
1834,174
1859,175
1884,176
1909,177
1934,178
1959,179
1984,180
2009,181
2034,182
2059,183
2084,184
2109,185
2134,186
2159,187
2184,188
2209,189
2234,190
2259,191
2284,192
2309,193
2334,194
2359,195
2384,196
2409,197
2434,198
2459,199
2484,200
